Metric,Value
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.8862120177426968
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.5522735758363949
timing__hold__ws__corner:min_ss_100C_1v60,0.8611713808032886
timing__setup__ws__corner:min_ss_100C_1v60,-3.252555650208239
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-206.99193345234184
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-3.252555650208239
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.861171
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,99
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-3.252556
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,99
timing__unannotated_net__count__corner:min_ss_100C_1v60,306
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,306
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,446
design__max_cap_violation__count__corner:min_ff_n40C_1v95,4
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.4965842322346825
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.37530282721631886
timing__hold__ws__corner:min_ff_n40C_1v95,0.11735046599947442
timing__setup__ws__corner:min_ff_n40C_1v95,10.97668120799818
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.117350
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,12.327938
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,306
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,2128
